sport_key,league_name,calendar_year,calendar_month,fixtures_big5_db,fixtures_matched,fixtures_not_matched,match_rate,h2h_ready,totals_ready,ou25_ready,toa_snapshot_queries_planned_total,note_toa_queries_are_global_not_per_cell
soccer_germany_bundesliga,Bundesliga,2025,1,37,15,22,0.4054,15,15,15,2740,True
soccer_germany_bundesliga,Bundesliga,2025,2,36,9,27,0.25,9,9,9,2740,True
soccer_germany_bundesliga,Bundesliga,2025,3,35,12,23,0.3429,12,12,12,2740,True
soccer_germany_bundesliga,Bundesliga,2025,4,36,16,20,0.4444,16,16,16,2740,True
soccer_germany_bundesliga,Bundesliga,2025,5,27,10,17,0.3704,10,10,10,2740,True
soccer_germany_bundesliga,Bundesliga,2026,4,225,8,217,0.0356,8,8,8,2740,True
soccer_italy_serie_a,Serie A,2023,8,20,14,6,0.7,14,14,14,2740,True
soccer_italy_serie_a,Serie A,2023,9,43,30,13,0.6977,30,30,30,2740,True
soccer_italy_serie_a,Serie A,2023,10,37,27,10,0.7297,27,27,27,2740,True
soccer_italy_serie_a,Serie A,2023,11,30,22,8,0.7333,22,22,22,2740,True
soccer_italy_serie_a,Serie A,2023,12,50,35,15,0.7,35,35,35,2740,True
soccer_italy_serie_a,Serie A,2024,1,36,27,9,0.75,27,27,27,2740,True
soccer_italy_serie_a,Serie A,2024,2,44,32,12,0.7273,32,32,32,2740,True
soccer_italy_serie_a,Serie A,2024,3,34,25,9,0.7353,25,25,25,2740,True
soccer_italy_serie_a,Serie A,2024,4,45,31,14,0.6889,31,31,31,2740,True
soccer_italy_serie_a,Serie A,2024,5,40,29,11,0.725,29,29,29,2740,True
soccer_italy_serie_a,Serie A,2024,6,1,0,1,0.0,0,0,0,2740,True
soccer_italy_serie_a,Serie A,2024,8,26,19,7,0.7308,19,19,19,2740,True
soccer_italy_serie_a,Serie A,2024,9,34,24,10,0.7059,24,24,24,2740,True
soccer_italy_serie_a,Serie A,2024,10,39,28,11,0.7179,28,28,28,2740,True
soccer_italy_serie_a,Serie A,2024,11,34,25,9,0.7353,25,25,25,2740,True
soccer_italy_serie_a,Serie A,2024,12,45,32,13,0.7111,32,32,32,2740,True
soccer_italy_serie_a,Serie A,2025,1,41,29,12,0.7073,29,29,29,2740,True
soccer_italy_serie_a,Serie A,2025,2,42,29,13,0.6905,29,29,29,2740,True
soccer_italy_serie_a,Serie A,2025,3,39,28,11,0.7179,28,28,28,2740,True
soccer_italy_serie_a,Serie A,2025,4,40,29,11,0.725,29,29,29,2740,True
soccer_italy_serie_a,Serie A,2025,5,40,29,11,0.725,29,29,29,2740,True
soccer_italy_serie_a,Serie A,2026,4,20,15,5,0.75,15,15,15,2740,True
soccer_spain_la_liga,La Liga,2023,8,30,17,13,0.5667,17,17,17,2740,True
soccer_spain_la_liga,La Liga,2023,9,44,26,18,0.5909,26,26,26,2740,True
soccer_spain_la_liga,La Liga,2023,10,35,19,16,0.5429,19,19,19,2740,True
soccer_spain_la_liga,La Liga,2023,11,30,17,13,0.5667,17,17,17,2740,True
soccer_spain_la_liga,La Liga,2023,12,41,21,20,0.5122,21,21,21,2740,True
soccer_spain_la_liga,La Liga,2024,1,39,20,19,0.5128,20,20,20,2740,True
soccer_spain_la_liga,La Liga,2024,2,40,23,17,0.575,23,23,23,2740,True
soccer_spain_la_liga,La Liga,2024,3,39,22,17,0.5641,22,22,22,2740,True
soccer_spain_la_liga,La Liga,2024,4,32,18,14,0.5625,18,18,18,2740,True
soccer_spain_la_liga,La Liga,2024,5,50,27,23,0.54,27,27,27,2740,True
soccer_spain_la_liga,La Liga,2024,8,34,16,18,0.4706,16,16,16,2740,True
soccer_spain_la_liga,La Liga,2024,9,46,23,23,0.5,23,23,23,2740,True
soccer_spain_la_liga,La Liga,2024,10,30,14,16,0.4667,14,14,14,2740,True
soccer_spain_la_liga,La Liga,2024,11,32,13,19,0.4062,13,13,13,2740,True
soccer_spain_la_liga,La Liga,2024,12,39,20,19,0.5128,20,20,20,2740,True
soccer_spain_la_liga,La Liga,2025,1,30,16,14,0.5333,16,16,16,2740,True
soccer_spain_la_liga,La Liga,2025,2,40,18,22,0.45,18,18,18,2740,True
soccer_spain_la_liga,La Liga,2025,3,38,18,20,0.4737,18,18,18,2740,True
soccer_spain_la_liga,La Liga,2025,4,41,19,22,0.4634,19,19,19,2740,True
soccer_spain_la_liga,La Liga,2025,5,50,25,25,0.5,25,25,25,2740,True
soccer_spain_la_liga,La Liga,2026,4,17,9,8,0.5294,9,9,9,2740,True
