bt2_league_id,sm_league_id,league_name,tier,is_active,n_events_total,n_with_final_score,n_with_any_prematch_odds,first_kickoff,last_kickoff
46901,262,Chance Liga,unknown,False,537,537,0,2023-08-05 08:00:00-05:00,2025-05-25 09:00:00-05:00
59634,830,Premier League,unknown,False,531,531,0,2023-09-18 11:00:00-05:00,2025-05-31 12:00:00-05:00
65348,648,Serie A,A,True,500,480,10,2024-04-13 16:30:00-05:00,2026-04-19 17:30:00-05:00
48655,211,Challenger Pro League,unknown,False,492,480,0,2023-08-11 13:00:00-05:00,2025-05-11 09:00:00-05:00
46453,372,Ligat ha'Al,unknown,False,480,480,0,2023-08-26 11:00:00-05:00,2025-05-24 12:30:00-05:00
57502,806,Premier League,unknown,False,480,473,0,2023-08-04 12:30:00-05:00,2025-05-29 05:00:00-05:00
59979,827,Ligue 1,unknown,False,480,480,0,2023-10-07 11:00:00-05:00,2025-05-19 13:00:00-05:00
58840,860,Botola Pro,unknown,False,480,480,0,2023-08-25 15:30:00-05:00,2025-05-12 14:00:00-05:00
58625,902,Persian Gulf Pro League,unknown,False,480,480,0,2023-08-09 10:30:00-05:00,2025-05-15 11:30:00-05:00
56618,325,Super League,unknown,False,476,476,0,2023-08-18 13:00:00-05:00,2025-05-22 12:00:00-05:00
65838,651,Serie B,unknown,False,475,473,0,2024-04-19 17:00:00-05:00,2025-05-31 18:30:00-05:00
54935,609,Premier League,unknown,False,473,473,0,2023-08-02 09:00:00-05:00,2025-05-25 10:00:00-05:00
50044,486,Premier League,unknown,False,464,464,0,2023-08-04 12:00:00-05:00,2025-05-24 08:30:00-05:00
52570,501,Premiership,A,True,462,456,6,2023-08-05 06:30:00-05:00,2026-04-12 06:00:00-05:00
59387,809,Ligue 1,unknown,False,455,455,0,2023-09-15 10:00:00-05:00,2025-05-30 11:00:00-05:00
46768,591,Super League,unknown,False,444,444,0,2023-08-05 11:00:00-05:00,2025-05-24 11:00:00-05:00
63220,764,Primera Division,unknown,False,428,428,0,2024-01-26 15:00:00-05:00,2025-05-25 18:00:00-05:00
64587,770,Primera Division,unknown,False,428,428,0,2024-02-16 18:30:00-05:00,2025-05-31 18:00:00-05:00
44991,1658,Copa de la Superliga,unknown,False,406,406,0,2023-08-17 17:30:00-05:00,2024-05-05 13:30:00-05:00
60437,307,Coupe de France,unknown,False,397,396,0,2023-11-17 13:00:00-05:00,2025-05-24 14:00:00-05:00
49851,334,NB I,unknown,False,391,391,0,2023-08-04 13:00:00-05:00,2025-05-25 07:15:00-05:00
50298,181,Admiral Bundesliga,unknown,False,383,383,0,2023-08-05 10:00:00-05:00,2025-05-29 10:00:00-05:00
50268,540,Niké Liga,unknown,False,380,380,0,2023-08-04 13:30:00-05:00,2025-05-20 13:00:00-05:00
45484,271,Superliga,unknown,False,373,373,0,2023-08-04 12:00:00-05:00,2025-05-25 10:00:00-05:00
46635,274,First Division,unknown,False,372,372,0,2023-08-04 12:00:00-05:00,2025-05-23 12:00:00-05:00
48847,959,UAE Pro League,unknown,False,364,364,0,2023-08-18 09:00:00-05:00,2025-05-25 11:00:00-05:00
61244,573,Allsvenskan,A,True,353,335,8,2024-03-30 09:00:00-05:00,2026-04-22 12:00:00-05:00
45314,244,1. HNL,unknown,False,350,350,0,2023-08-04 13:00:00-05:00,2025-05-25 10:00:00-05:00
63436,663,Primera Division,A,True,350,337,7,2024-02-16 19:30:00-05:00,2026-04-20 19:30:00-05:00
59906,1073,V-League,unknown,False,349,349,0,2023-10-20 06:00:00-05:00,2025-05-30 06:00:00-05:00
63238,1034,K League 1,A,True,348,331,7,2024-03-01 00:00:00-05:00,2026-04-22 05:30:00-05:00
59003,1356,A-League Men,unknown,False,345,345,0,2023-10-20 03:45:00-05:00,2025-05-31 04:40:00-05:00
64731,989,Super League,unknown,False,341,341,0,2024-03-01 05:00:00-05:00,2025-05-17 07:00:00-05:00
55548,492,Russian Cup,unknown,False,318,317,0,2023-08-01 11:30:00-05:00,2025-05-15 12:00:00-05:00
62246,444,Eliteserien,unknown,False,312,312,0,2024-03-31 11:00:00-05:00,2025-05-31 11:45:00-05:00
59564,1007,Indian Super League,unknown,False,302,302,0,2023-09-21 09:30:00-05:00,2025-04-12 09:00:00-05:00
61637,1122,Copa Libertadores,A,True,300,290,11,2024-02-06 19:30:00-05:00,2026-04-16 19:30:00-05:00
58737,468,Taça De Portugal,unknown,False,295,295,0,2023-09-08 11:00:00-05:00,2025-05-25 11:15:00-05:00
61667,1116,Copa Sudamericana,B,True,287,279,11,2024-03-05 17:00:00-05:00,2026-04-16 21:00:00-05:00
46888,1085,AFC Champions League Elite,unknown,False,285,285,0,2023-08-15 06:30:00-05:00,2025-05-03 11:30:00-05:00
58325,1107,CAF Champions League,unknown,False,285,282,0,2023-08-18 08:00:00-05:00,2025-05-24 08:00:00-05:00
61043,360,Premier Division,unknown,False,272,272,0,2024-02-16 14:45:00-05:00,2025-05-30 14:00:00-05:00
58483,938,Stars League,unknown,False,264,264,0,2023-08-16 10:30:00-05:00,2025-04-18 10:30:00-05:00
46755,1088,AFC Champions League Two,unknown,False,263,254,0,2023-08-08 06:45:00-05:00,2025-05-18 07:00:00-05:00
59953,570,Copa Del Rey,unknown,False,252,252,0,2023-10-11 12:30:00-05:00,2025-04-26 15:00:00-05:00
63710,292,Veikkausliiga,unknown,False,223,223,0,2024-04-06 07:00:00-05:00,2025-05-31 11:00:00-05:00
53371,78,KNVB Beker,unknown,False,218,218,0,2023-08-12 07:30:00-05:00,2025-04-21 11:00:00-05:00
64522,654,Copa do Brasil,unknown,False,214,214,0,2024-02-20 14:30:00-05:00,2025-05-22 19:30:00-05:00
49065,27,Carabao Cup,unknown,False,186,186,0,2023-08-08 13:00:00-05:00,2025-03-16 11:30:00-05:00
46421,109,DFB Pokal,unknown,False,126,126,0,2023-08-11 11:00:00-05:00,2025-05-24 13:00:00-05:00
58401,390,Coppa Italia,unknown,False,90,90,0,2023-08-05 11:00:00-05:00,2025-05-14 14:00:00-05:00
57486,950,Kings Cup,unknown,False,62,62,0,2023-09-24 10:00:00-05:00,2025-05-30 13:00:00-05:00
63676,1123,OFC Champions League,unknown,False,53,53,0,2024-02-07 22:00:00-05:00,2025-04-12 02:00:00-05:00
67402,513,Premiership Play-Offs,unknown,False,12,12,0,2024-05-07 13:45:00-05:00,2025-05-26 14:00:00-05:00
67432,1691,Premier League - Playoffs,unknown,False,9,9,0,2024-05-29 07:30:00-05:00,2025-05-29 10:00:00-05:00
67119,1989,Qatar Prince Cup,unknown,False,6,6,0,2024-05-01 09:15:00-05:00,2025-05-10 11:00:00-05:00
82909,1452,FIFA Intercontinental Cup,unknown,False,5,5,0,2024-09-22 11:00:00-05:00,2024-12-18 12:00:00-05:00
67458,1673,Ligue 1 Play-offs,unknown,False,4,4,0,2024-05-30 13:30:00-05:00,2025-05-29 13:30:00-05:00
67476,1681,Super League Play-offs,unknown,False,4,4,0,2024-05-26 09:30:00-05:00,2025-05-30 13:30:00-05:00
67431,1682,Parva Liga - Play-offs,unknown,False,4,4,0,2024-05-30 11:00:00-05:00,2025-05-31 10:30:00-05:00
76770,1251,Super Cup,unknown,False,3,3,0,2025-01-08 14:00:00-05:00,2025-01-12 14:00:00-05:00
67497,23,Community Shield,unknown,False,1,1,0,2024-08-10 09:00:00-05:00,2024-08-10 09:00:00-05:00
67658,1128,Super Cup,unknown,False,1,1,0,2024-07-20 13:00:00-05:00,2024-07-20 13:00:00-05:00
67485,1328,UEFA Super Cup,unknown,False,1,1,0,2024-08-14 14:00:00-05:00,2024-08-14 14:00:00-05:00
65334,1502,Super Cup,unknown,False,1,1,0,2024-03-13 19:10:00-05:00,2024-03-13 19:10:00-05:00
84056,1798,Supercopa do Brasil,unknown,False,1,1,0,2025-02-02 14:00:00-05:00,2025-02-02 14:00:00-05:00
84085,1990,Super Cup,unknown,False,1,1,0,2024-12-13 10:45:00-05:00,2024-12-13 10:45:00-05:00
