snapshot_policy,toa_sport_key,local_kickoff_date,n_events_kickoff_this_local_day,n_distinct_snapshot_requests,n_markets,n_regions,estimated_requests,estimated_credits
t60,soccer_germany_bundesliga,2023-09-23,6,2,2,1,2,40
t60,soccer_italy_serie_a,2023-09-23,3,3,2,1,3,60
t60,soccer_spain_la_liga,2023-09-23,4,4,2,1,4,80
t60,soccer_epl,2023-09-24,5,2,2,1,2,40
t60,soccer_france_ligue_one,2023-09-24,5,4,2,1,4,80
t60,soccer_germany_bundesliga,2023-09-24,2,2,2,1,2,40
t60,soccer_italy_serie_a,2023-09-24,5,4,2,1,4,80
t60,soccer_spain_la_liga,2023-09-24,5,4,2,1,4,80
t60,soccer_france_ligue_one,2023-09-26,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-09-26,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-09-26,2,2,2,1,2,40
t60,soccer_italy_serie_a,2023-09-27,6,2,2,1,2,40
t60,soccer_spain_la_liga,2023-09-27,5,2,2,1,2,40
t60,soccer_italy_serie_a,2023-09-28,3,2,2,1,2,40
t60,soccer_spain_la_liga,2023-09-28,3,2,2,1,2,40
t60,soccer_france_ligue_one,2023-09-29,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-09-29,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-09-29,1,1,2,1,1,20
t60,soccer_epl,2023-09-30,8,3,2,1,3,60
t60,soccer_france_ligue_one,2023-09-30,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2023-09-30,6,2,2,1,2,40
t60,soccer_italy_serie_a,2023-09-30,3,3,2,1,3,60
t60,soccer_spain_la_liga,2023-09-30,4,4,2,1,4,80
t60,soccer_epl,2023-10-01,1,1,2,1,1,20
t60,soccer_france_ligue_one,2023-10-01,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2023-10-01,2,2,2,1,2,40
t60,soccer_italy_serie_a,2023-10-01,4,4,2,1,4,80
t60,soccer_spain_la_liga,2023-10-01,4,3,2,1,3,60
t60,soccer_epl,2023-10-02,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-10-02,3,2,2,1,2,40
t60,soccer_spain_la_liga,2023-10-02,1,1,2,1,1,20
t60,soccer_epl,2023-10-03,1,1,2,1,1,20
t60,soccer_france_ligue_one,2023-10-06,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-10-06,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-10-06,2,2,2,1,2,40
t60,soccer_spain_la_liga,2023-10-06,1,1,2,1,1,20
t60,soccer_epl,2023-10-07,6,3,2,1,3,60
t60,soccer_france_ligue_one,2023-10-07,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2023-10-07,5,2,2,1,2,40
t60,soccer_italy_serie_a,2023-10-07,3,3,2,1,3,60
t60,soccer_spain_la_liga,2023-10-07,4,4,2,1,4,80
t60,soccer_epl,2023-10-08,4,2,2,1,2,40
t60,soccer_france_ligue_one,2023-10-08,5,4,2,1,4,80
t60,soccer_germany_bundesliga,2023-10-08,3,3,2,1,3,60
t60,soccer_italy_serie_a,2023-10-08,5,4,2,1,4,80
t60,soccer_spain_la_liga,2023-10-08,5,4,2,1,4,80
t60,soccer_france_ligue_one,2023-10-20,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-10-20,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-10-20,1,1,2,1,1,20
t60,soccer_epl,2023-10-21,8,4,2,1,4,80
t60,soccer_france_ligue_one,2023-10-21,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2023-10-21,6,2,2,1,2,40
t60,soccer_italy_serie_a,2023-10-21,3,3,2,1,3,60
t60,soccer_spain_la_liga,2023-10-21,4,4,2,1,4,80
t60,soccer_epl,2023-10-22,1,1,2,1,1,20
t60,soccer_france_ligue_one,2023-10-22,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2023-10-22,2,2,2,1,2,40
t60,soccer_italy_serie_a,2023-10-22,5,4,2,1,4,80
t60,soccer_spain_la_liga,2023-10-22,4,4,2,1,4,80
t60,soccer_epl,2023-10-23,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-10-23,2,2,2,1,2,40
t60,soccer_spain_la_liga,2023-10-23,1,1,2,1,1,20
t60,soccer_epl,2023-10-27,1,1,2,1,1,20
t60,soccer_france_ligue_one,2023-10-27,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-10-27,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-10-27,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-10-27,1,1,2,1,1,20
t60,soccer_epl,2023-10-28,4,3,2,1,3,60
t60,soccer_france_ligue_one,2023-10-28,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2023-10-28,6,2,2,1,2,40
t60,soccer_italy_serie_a,2023-10-28,3,3,2,1,3,60
t60,soccer_spain_la_liga,2023-10-28,4,4,2,1,4,80
t60,soccer_epl,2023-10-29,5,3,2,1,3,60
t60,soccer_france_ligue_one,2023-10-29,5,3,2,1,3,60
t60,soccer_germany_bundesliga,2023-10-29,2,2,2,1,2,40
t60,soccer_italy_serie_a,2023-10-29,4,4,2,1,4,80
t60,soccer_spain_la_liga,2023-10-29,4,4,2,1,4,80
t60,soccer_italy_serie_a,2023-10-30,2,2,2,1,2,40
t60,soccer_spain_la_liga,2023-10-30,1,1,2,1,1,20
t60,soccer_france_ligue_one,2023-11-03,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-11-03,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-11-03,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-11-03,1,1,2,1,1,20
t60,soccer_epl,2023-11-04,7,3,2,1,3,60
t60,soccer_france_ligue_one,2023-11-04,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2023-11-04,6,2,2,1,2,40
t60,soccer_italy_serie_a,2023-11-04,3,3,2,1,3,60
t60,soccer_spain_la_liga,2023-11-04,4,4,2,1,4,80
t60,soccer_epl,2023-11-05,2,2,2,1,2,40
t60,soccer_france_ligue_one,2023-11-05,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2023-11-05,2,2,2,1,2,40
t60,soccer_italy_serie_a,2023-11-05,4,4,2,1,4,80
t60,soccer_spain_la_liga,2023-11-05,4,4,2,1,4,80
t60,soccer_epl,2023-11-06,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-11-06,2,2,2,1,2,40
t60,soccer_spain_la_liga,2023-11-06,1,1,2,1,1,20
t60,soccer_france_ligue_one,2023-11-10,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-11-10,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-11-10,2,2,2,1,2,40
t60,soccer_spain_la_liga,2023-11-10,1,1,2,1,1,20
t60,soccer_epl,2023-11-11,5,3,2,1,3,60
t60,soccer_france_ligue_one,2023-11-11,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2023-11-11,5,2,2,1,2,40
t60,soccer_italy_serie_a,2023-11-11,3,3,2,1,3,60
t60,soccer_spain_la_liga,2023-11-11,5,4,2,1,4,80
t60,soccer_epl,2023-11-12,5,2,2,1,2,40
t60,soccer_france_ligue_one,2023-11-12,5,3,2,1,3,60
t60,soccer_germany_bundesliga,2023-11-12,3,3,2,1,3,60
t60,soccer_italy_serie_a,2023-11-12,5,4,2,1,4,80
t60,soccer_spain_la_liga,2023-11-12,3,3,2,1,3,60
t60,soccer_france_ligue_one,2023-11-24,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-11-24,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-11-24,1,1,2,1,1,20
t60,soccer_epl,2023-11-25,7,3,2,1,3,60
t60,soccer_france_ligue_one,2023-11-25,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2023-11-25,6,2,2,1,2,40
t60,soccer_italy_serie_a,2023-11-25,3,3,2,1,3,60
t60,soccer_spain_la_liga,2023-11-25,4,4,2,1,4,80
t60,soccer_epl,2023-11-26,2,2,2,1,2,40
t60,soccer_france_ligue_one,2023-11-26,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2023-11-26,2,2,2,1,2,40
t60,soccer_italy_serie_a,2023-11-26,5,4,2,1,4,80
t60,soccer_spain_la_liga,2023-11-26,4,4,2,1,4,80
t60,soccer_epl,2023-11-27,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-11-27,2,2,2,1,2,40
t60,soccer_spain_la_liga,2023-11-27,1,1,2,1,1,20
t60,soccer_france_ligue_one,2023-11-29,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-11-29,1,1,2,1,1,20
t60,soccer_france_ligue_one,2023-12-01,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-12-01,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-12-01,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-12-01,1,1,2,1,1,20
t60,soccer_epl,2023-12-02,5,3,2,1,3,60
t60,soccer_france_ligue_one,2023-12-02,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2023-12-02,4,2,2,1,2,40
t60,soccer_italy_serie_a,2023-12-02,3,3,2,1,3,60
t60,soccer_spain_la_liga,2023-12-02,4,4,2,1,4,80
t60,soccer_epl,2023-12-03,5,2,2,1,2,40
t60,soccer_france_ligue_one,2023-12-03,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2023-12-03,3,3,2,1,3,60
t60,soccer_italy_serie_a,2023-12-03,5,4,2,1,4,80
t60,soccer_spain_la_liga,2023-12-03,4,4,2,1,4,80
t60,soccer_italy_serie_a,2023-12-04,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-12-04,1,1,2,1,1,20
t60,soccer_epl,2023-12-05,2,2,2,1,2,40
t60,soccer_epl,2023-12-06,6,2,2,1,2,40
t60,soccer_france_ligue_one,2023-12-06,1,1,2,1,1,20
t60,soccer_epl,2023-12-07,2,2,2,1,2,40
t60,soccer_france_ligue_one,2023-12-07,1,1,2,1,1,20
t60,soccer_france_ligue_one,2023-12-08,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-12-08,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-12-08,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-12-08,1,1,2,1,1,20
t60,soccer_epl,2023-12-09,6,3,2,1,3,60
t60,soccer_france_ligue_one,2023-12-09,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2023-12-09,6,2,2,1,2,40
t60,soccer_italy_serie_a,2023-12-09,3,3,2,1,3,60
t60,soccer_spain_la_liga,2023-12-09,4,4,2,1,4,80
t60,soccer_epl,2023-12-10,4,2,2,1,2,40
t60,soccer_france_ligue_one,2023-12-10,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2023-12-10,2,2,2,1,2,40
t60,soccer_italy_serie_a,2023-12-10,4,4,2,1,4,80
t60,soccer_spain_la_liga,2023-12-10,3,3,2,1,3,60
t60,soccer_italy_serie_a,2023-12-11,2,2,2,1,2,40
t60,soccer_spain_la_liga,2023-12-11,2,1,2,1,1,20
t60,soccer_epl,2023-12-15,1,1,2,1,1,20
t60,soccer_france_ligue_one,2023-12-15,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-12-15,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-12-15,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-12-15,1,1,2,1,1,20
t60,soccer_epl,2023-12-16,4,2,2,1,2,40
t60,soccer_france_ligue_one,2023-12-16,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2023-12-16,5,2,2,1,2,40
t60,soccer_italy_serie_a,2023-12-16,3,3,2,1,3,60
t60,soccer_spain_la_liga,2023-12-16,4,4,2,1,4,80
t60,soccer_epl,2023-12-17,4,2,2,1,2,40
t60,soccer_france_ligue_one,2023-12-17,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2023-12-17,3,3,2,1,3,60
t60,soccer_italy_serie_a,2023-12-17,5,4,2,1,4,80
t60,soccer_spain_la_liga,2023-12-17,4,4,2,1,4,80
t60,soccer_italy_serie_a,2023-12-18,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-12-18,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-12-19,3,2,2,1,2,40
t60,soccer_spain_la_liga,2023-12-19,3,2,2,1,2,40
t60,soccer_france_ligue_one,2023-12-20,9,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-12-20,6,2,2,1,2,40
t60,soccer_spain_la_liga,2023-12-20,3,2,2,1,2,40
t60,soccer_epl,2023-12-21,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-12-21,4,2,2,1,2,40
t60,soccer_epl,2023-12-22,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-12-22,4,2,2,1,2,40
t60,soccer_epl,2023-12-23,6,3,2,1,3,60
t60,soccer_italy_serie_a,2023-12-23,6,4,2,1,4,80
t60,soccer_spain_la_liga,2023-12-23,1,1,2,1,1,20
t60,soccer_epl,2023-12-24,1,1,2,1,1,20
t60,soccer_epl,2023-12-26,5,4,2,1,4,80
t60,soccer_epl,2023-12-27,3,2,2,1,2,40
t60,soccer_epl,2023-12-28,2,2,2,1,2,40
t60,soccer_italy_serie_a,2023-12-29,4,2,2,1,2,40
t60,soccer_epl,2023-12-30,6,3,2,1,3,60
t60,soccer_italy_serie_a,2023-12-30,6,4,2,1,4,80
t60,soccer_epl,2023-12-31,2,1,2,1,1,20
t60,soccer_epl,2024-01-01,1,1,2,1,1,20
t60,soccer_epl,2024-01-02,1,1,2,1,1,20
t60,soccer_spain_la_liga,2024-01-02,3,3,2,1,3,60
t60,soccer_spain_la_liga,2024-01-03,4,3,2,1,3,60
t60,soccer_spain_la_liga,2024-01-04,3,3,2,1,3,60
t60,soccer_italy_serie_a,2024-01-05,1,1,2,1,1,20
t60,soccer_italy_serie_a,2024-01-06,4,4,2,1,4,80
t60,soccer_italy_serie_a,2024-01-07,5,4,2,1,4,80
t60,soccer_epl,2024-01-12,1,1,2,1,1,20
t60,soccer_france_ligue_one,2024-01-12,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2024-01-12,1,1,2,1,1,20
t60,soccer_spain_la_liga,2024-01-12,1,1,2,1,1,20
t60,soccer_epl,2024-01-13,2,2,2,1,2,40
t60,soccer_france_ligue_one,2024-01-13,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2024-01-13,6,2,2,1,2,40
t60,soccer_italy_serie_a,2024-01-13,4,3,2,1,3,60
t60,soccer_spain_la_liga,2024-01-13,4,4,2,1,4,80
t60,soccer_epl,2024-01-14,2,2,2,1,2,40
t60,soccer_france_ligue_one,2024-01-14,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2024-01-14,2,2,2,1,2,40
t60,soccer_italy_serie_a,2024-01-14,4,4,2,1,4,80
t60,soccer_spain_la_liga,2024-01-14,2,2,2,1,2,40
t60,soccer_italy_serie_a,2024-01-15,1,1,2,1,1,20
t60,soccer_italy_serie_a,2024-01-16,1,1,2,1,1,20
t60,soccer_spain_la_liga,2024-01-19,1,1,2,1,1,20
t60,soccer_epl,2024-01-20,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2024-01-20,6,2,2,1,2,40
t60,soccer_italy_serie_a,2024-01-20,2,2,2,1,2,40
t60,soccer_spain_la_liga,2024-01-20,4,4,2,1,4,80
t60,soccer_epl,2024-01-21,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2024-01-21,2,2,2,1,2,40
t60,soccer_italy_serie_a,2024-01-21,4,4,2,1,4,80
t60,soccer_spain_la_liga,2024-01-21,4,4,2,1,4,80
t60,soccer_epl,2024-01-22,1,1,2,1,1,20
t60,soccer_spain_la_liga,2024-01-22,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2024-01-24,1,1,2,1,1,20
t60,soccer_france_ligue_one,2024-01-26,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2024-01-26,1,1,2,1,1,20
t60,soccer_italy_serie_a,2024-01-26,1,1,2,1,1,20
t60,soccer_spain_la_liga,2024-01-26,1,1,2,1,1,20
t60,soccer_france_ligue_one,2024-01-27,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2024-01-27,6,2,2,1,2,40
t60,soccer_italy_serie_a,2024-01-27,3,3,2,1,3,60
t60,soccer_spain_la_liga,2024-01-27,4,4,2,1,4,80
t60,soccer_france_ligue_one,2024-01-28,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2024-01-28,2,2,2,1,2,40
t60,soccer_italy_serie_a,2024-01-28,5,4,2,1,4,80
t60,soccer_spain_la_liga,2024-01-28,4,4,2,1,4,80
t60,soccer_italy_serie_a,2024-01-29,1,1,2,1,1,20
t60,soccer_spain_la_liga,2024-01-29,1,1,2,1,1,20
t60,soccer_epl,2024-01-30,5,4,2,1,4,80
t60,soccer_epl,2024-01-31,3,2,2,1,2,40
t60,soccer_spain_la_liga,2024-01-31,2,2,2,1,2,40
t60,soccer_epl,2024-02-01,2,2,2,1,2,40
t60,soccer_spain_la_liga,2024-02-01,1,1,2,1,1,20
t60,soccer_france_ligue_one,2024-02-02,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2024-02-02,1,1,2,1,1,20
t60,soccer_italy_serie_a,2024-02-02,1,1,2,1,1,20
t60,soccer_spain_la_liga,2024-02-02,1,1,2,1,1,20
t60,soccer_epl,2024-02-03,5,3,2,1,3,60
t60,soccer_france_ligue_one,2024-02-03,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2024-02-03,6,2,2,1,2,40
t60,soccer_italy_serie_a,2024-02-03,4,3,2,1,3,60
t60,soccer_spain_la_liga,2024-02-03,4,4,2,1,4,80
t60,soccer_epl,2024-02-04,4,2,2,1,2,40
t60,soccer_france_ligue_one,2024-02-04,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2024-02-04,2,2,2,1,2,40
t60,soccer_italy_serie_a,2024-02-04,4,4,2,1,4,80
t60,soccer_spain_la_liga,2024-02-04,4,4,2,1,4,80
t60,soccer_epl,2024-02-05,1,1,2,1,1,20
t60,soccer_italy_serie_a,2024-02-05,1,1,2,1,1,20
t60,soccer_spain_la_liga,2024-02-05,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2024-02-07,1,1,2,1,1,20
t60,soccer_france_ligue_one,2024-02-09,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2024-02-09,1,1,2,1,1,20
t60,soccer_italy_serie_a,2024-02-09,1,1,2,1,1,20
t60,soccer_spain_la_liga,2024-02-09,1,1,2,1,1,20
t60,soccer_epl,2024-02-10,7,3,2,1,3,60
t60,soccer_france_ligue_one,2024-02-10,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2024-02-10,6,2,2,1,2,40
t60,soccer_italy_serie_a,2024-02-10,3,3,2,1,3,60
t60,soccer_spain_la_liga,2024-02-10,4,4,2,1,4,80
t60,soccer_epl,2024-02-11,2,2,2,1,2,40
t60,soccer_france_ligue_one,2024-02-11,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2024-02-11,2,2,2,1,2,40
t60,soccer_italy_serie_a,2024-02-11,5,4,2,1,4,80
t60,soccer_spain_la_liga,2024-02-11,4,4,2,1,4,80
t60,soccer_epl,2024-02-12,1,1,2,1,1,20
t60,soccer_italy_serie_a,2024-02-12,1,1,2,1,1,20
t60,soccer_spain_la_liga,2024-02-12,1,1,2,1,1,20
t60,soccer_italy_serie_a,2024-02-14,1,1,2,1,1,20
t60,soccer_france_ligue_one,2024-02-16,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2024-02-16,1,1,2,1,1,20
t60,soccer_italy_serie_a,2024-02-16,2,2,2,1,2,40
t60,soccer_spain_la_liga,2024-02-16,1,1,2,1,1,20
t60,soccer_epl,2024-02-17,7,3,2,1,3,60
t60,soccer_france_ligue_one,2024-02-17,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2024-02-17,6,2,2,1,2,40
t60,soccer_italy_serie_a,2024-02-17,3,3,2,1,3,60
t60,soccer_spain_la_liga,2024-02-17,4,4,2,1,4,80
t60,soccer_epl,2024-02-18,2,2,2,1,2,40
t60,soccer_france_ligue_one,2024-02-18,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2024-02-18,2,2,2,1,2,40
t60,soccer_italy_serie_a,2024-02-18,5,4,2,1,4,80
t60,soccer_spain_la_liga,2024-02-18,4,4,2,1,4,80
t60,soccer_epl,2024-02-19,1,1,2,1,1,20
t60,soccer_spain_la_liga,2024-02-19,1,1,2,1,1,20
t60,soccer_epl,2024-02-20,1,1,2,1,1,20
t60,soccer_epl,2024-02-21,1,1,2,1,1,20
t60,soccer_italy_serie_a,2024-02-22,1,1,2,1,1,20
t60,soccer_france_ligue_one,2024-02-23,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2024-02-23,1,1,2,1,1,20
t60,soccer_italy_serie_a,2024-02-23,1,1,2,1,1,20
t60,soccer_spain_la_liga,2024-02-23,1,1,2,1,1,20
t60,soccer_epl,2024-02-24,6,3,2,1,3,60
t60,soccer_france_ligue_one,2024-02-24,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2024-02-24,5,2,2,1,2,40
t60,soccer_italy_serie_a,2024-02-24,3,3,2,1,3,60
t60,soccer_spain_la_liga,2024-02-24,3,3,2,1,3,60
t60,soccer_epl,2024-02-25,1,1,2,1,1,20
t60,soccer_france_ligue_one,2024-02-25,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2024-02-25,3,3,2,1,3,60
t60,soccer_italy_serie_a,2024-02-25,4,4,2,1,4,80
t60,soccer_spain_la_liga,2024-02-25,4,4,2,1,4,80
t60,soccer_epl,2024-02-26,1,1,2,1,1,20
t60,soccer_italy_serie_a,2024-02-26,2,2,2,1,2,40
t60,soccer_spain_la_liga,2024-02-26,1,1,2,1,1,20
t60,soccer_italy_serie_a,2024-02-28,2,2,2,1,2,40
t60,soccer_france_ligue_one,2024-03-01,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2024-03-01,1,1,2,1,1,20
t60,soccer_italy_serie_a,2024-03-01,1,1,2,1,1,20
t60,soccer_spain_la_liga,2024-03-01,1,1,2,1,1,20
t60,soccer_epl,2024-03-02,7,2,2,1,2,40
t60,soccer_france_ligue_one,2024-03-02,2,2,2,1,2,40
