bt2_event_id,toa_event_id,sport_key,kickoff_bt2_utc,commence_toa,home_bt2,away_bt2,home_toa,away_toa,match_score
1349,efb7bcd1f4959bf80197ec581b077cb2,soccer_epl,2024-03-30T10:00:00-05:00,2024-03-30T15:00:00Z,Sheffield United,Fulham,Sheffield United,Fulham,2.0
1342,60b84c40ac236905064dae0535ba9c73,soccer_epl,2024-03-30T12:30:00-05:00,2024-03-30T17:30:00Z,Aston Villa,Wolverhampton Wanderers,Aston Villa,Wolverhampton Wanderers,2.0
1343,3c3df999f07010248fb7e25e24bc851e,soccer_epl,2024-03-30T15:00:00-05:00,2024-03-30T20:00:00Z,Brentford,Manchester United,Brentford,Manchester United,2.0
1344,2597298743f78005ba7c2b7f9cefd2a4,soccer_epl,2024-03-30T10:00:00-05:00,2024-03-30T15:00:03Z,Chelsea,Burnley,Chelsea,Burnley,1.9992
1349,efb7bcd1f4959bf80197ec581b077cb2,soccer_epl,2024-03-30T10:00:00-05:00,2024-03-30T15:00:17Z,Sheffield United,Fulham,Sheffield United,Fulham,1.9953
1348,d1e3eb5871c7e3b1ac9dabd09d94344f,soccer_epl,2024-03-30T10:00:00-05:00,2024-03-30T15:01:48Z,Nottingham Forest,Crystal Palace,Nottingham Forest,Crystal Palace,1.97
1342,60b84c40ac236905064dae0535ba9c73,soccer_epl,2024-03-30T12:30:00-05:00,2024-03-30T17:30:00Z,Aston Villa,Wolverhampton Wanderers,Aston Villa,Wolverhampton Wanderers,2.0
1343,3c3df999f07010248fb7e25e24bc851e,soccer_epl,2024-03-30T15:00:00-05:00,2024-03-30T20:00:00Z,Brentford,Manchester United,Brentford,Manchester United,2.0
1342,60b84c40ac236905064dae0535ba9c73,soccer_epl,2024-03-30T12:30:00-05:00,2024-03-30T17:30:11Z,Aston Villa,Wolverhampton Wanderers,Aston Villa,Wolverhampton Wanderers,1.9969
1343,3c3df999f07010248fb7e25e24bc851e,soccer_epl,2024-03-30T15:00:00-05:00,2024-03-30T20:00:00Z,Brentford,Manchester United,Brentford,Manchester United,2.0
1421,672a1729a6b0323ecd5b47e4d5a33c23,soccer_epl,2024-05-19T10:00:00-05:00,2024-05-19T15:00:00Z,Arsenal,Everton,Arsenal,Everton,2.0
1426,5866498ca2390a3c0cedf5037bd50b6a,soccer_epl,2024-05-19T10:00:00-05:00,2024-05-19T15:00:00Z,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa,2.0
1422,7f178786915e6ced46d0c76e34beb045,soccer_epl,2024-05-19T10:00:00-05:00,2024-05-19T15:00:00Z,Brentford,Newcastle United,Brentford,Newcastle United,2.0
1424,2afc81c23b9ef9ebdfc18a0db97e55ca,soccer_epl,2024-05-19T10:00:00-05:00,2024-05-19T15:00:00Z,Burnley,Nottingham Forest,Burnley,Nottingham Forest,2.0
1427,fd2bfff9d295143ca491e063daf57119,soccer_epl,2024-05-19T10:00:00-05:00,2024-05-19T15:00:00Z,Liverpool,Wolverhampton Wanderers,Liverpool,Wolverhampton Wanderers,2.0
1429,12c8092adaa57469145367ea74ed6872,soccer_epl,2024-05-19T10:00:00-05:00,2024-05-19T15:00:00Z,Manchester City,West Ham United,Manchester City,West Ham United,2.0
1430,3fc76a90ce239f0cd3223cba025aa94f,soccer_epl,2024-05-19T10:00:00-05:00,2024-05-19T15:00:00Z,Sheffield United,Tottenham Hotspur,Sheffield United,Tottenham Hotspur,2.0
24793,d98b7037fb65c1b746d0f6a39750b048,soccer_epl,2025-05-25T10:00:00-05:00,2025-05-25T15:00:00Z,Southampton,Arsenal,Southampton,Arsenal,2.0
24790,4eb2ba91580642dfdbdb4c70feecfd39,soccer_epl,2025-05-25T10:00:00-05:00,2025-05-25T15:00:00Z,Manchester United,Aston Villa,Manchester United,Aston Villa,2.0
24795,84c30fe877ce402264ff72923e161d33,soccer_epl,2025-05-25T10:00:00-05:00,2025-05-25T15:00:00Z,Wolverhampton Wanderers,Brentford,Wolverhampton Wanderers,Brentford,2.0
24792,7065ea5e6e4ecef6b5845a117e42bc0e,soccer_epl,2025-05-25T10:00:00-05:00,2025-05-25T15:00:00Z,Nottingham Forest,Chelsea,Nottingham Forest,Chelsea,2.0
24789,57dbfe6d749a1e225d7fd5e03a6dd42b,soccer_epl,2025-05-25T10:00:00-05:00,2025-05-25T15:00:00Z,Liverpool,Crystal Palace,Liverpool,Crystal Palace,2.0
24791,18e352c5225d8e744053a63b74e2fdd2,soccer_epl,2025-05-25T10:00:00-05:00,2025-05-25T15:00:00Z,Newcastle United,Everton,Newcastle United,Everton,2.0
24787,237603f9835fa7473c68c5b034c8c7e1,soccer_epl,2025-05-25T10:00:00-05:00,2025-05-25T15:00:00Z,Fulham,Manchester City,Fulham,Manchester City,2.0
24788,f7ee35bd5614661f0c83e59885c2a933,soccer_epl,2025-05-25T10:00:00-05:00,2025-05-25T15:00:00Z,Ipswich Town,West Ham United,Ipswich Town,West Ham United,2.0
