target_week,league_id,league_name,league_tier,n_fixtures,n_not_usable,not_usable_share,n_vp_true,n_lines_before_sum,n_lines_t60_sum,lines_survival_proxy,fixtures_sin_lineas_canonicas
2025-W21,46453,Ligat ha'Al,unknown,5,2,0.4,3,372,245,0.6586,0
2025-W16,65348,Serie A,A,19,1,0.0526,18,1571,1098,0.6989,0
2025-W16,62494,Liga BetPlay,A,17,1,0.0588,16,1303,867,0.6654,0
2025-W16,45187,Liga MX,A,15,1,0.0667,14,1242,866,0.6973,0
2025-W18,50730,Eerste Divisie,unknown,15,1,0.0667,14,1172,830,0.7082,0
2025-W18,47125,Championship,B,13,1,0.0769,12,1072,770,0.7183,0
2025-W20,61244,Allsvenskan,A,13,1,0.0769,12,1041,667,0.6407,0
2025-W21,45751,Premier League,S,13,1,0.0769,12,1089,742,0.6814,0
2025-W21,62494,Liga BetPlay,A,13,1,0.0769,12,1006,632,0.6282,0
2025-W16,53671,Enterprise National League,unknown,12,1,0.0833,11,976,646,0.6619,0
2025-W18,53391,Serie A,S,12,1,0.0833,11,1010,710,0.703,0
2025-W18,62494,Liga BetPlay,A,12,1,0.0833,11,875,559,0.6389,0
2025-W18,63220,Primera Division,unknown,12,1,0.0833,11,983,684,0.6958,0
2025-W20,52570,Premiership,A,12,1,0.0833,11,941,596,0.6334,0
2025-W16,45751,Premier League,S,11,1,0.0909,10,898,663,0.7383,0
2025-W18,57502,Premier League,unknown,11,1,0.0909,10,801,576,0.7191,1
2025-W21,64587,Primera Division,unknown,11,1,0.0909,10,878,574,0.6538,0
2025-W02,59003,A-League Men,unknown,10,1,0.1,9,922,683,0.7408,0
2025-W16,48313,La Liga,S,10,1,0.1,9,815,585,0.7178,0
2025-W16,54935,Premier League,unknown,10,1,0.1,9,797,550,0.6901,0
2025-W16,64587,Primera Division,unknown,10,1,0.1,9,759,502,0.6614,0
2025-W20,55168,3. Liga,unknown,10,1,0.1,9,768,478,0.6224,0
2025-W20,56800,Super Lig,A,10,1,0.1,9,778,515,0.662,0
2025-W02,46453,Ligat ha'Al,unknown,9,1,0.1111,8,740,548,0.7405,0
2025-W02,48847,UAE Pro League,unknown,9,1,0.1111,8,800,584,0.73,0
2025-W02,50424,Eredivisie,A,9,1,0.1111,8,838,640,0.7637,0
2025-W02,51884,Ligue 1,S,9,1,0.1111,8,840,639,0.7607,0
2025-W02,57180,1. Lig,unknown,9,1,0.1111,8,801,588,0.7341,0
2025-W16,54529,Liga Portugal,A,9,1,0.1111,8,743,524,0.7052,0
2025-W16,56312,Pro League,unknown,9,1,0.1111,8,734,506,0.6894,0
2025-W18,58840,Botola Pro,unknown,9,1,0.1111,8,707,475,0.6719,0
2025-W20,51572,Superliga,unknown,9,1,0.1111,8,700,448,0.64,0
2025-W20,53065,Bundesliga,S,9,1,0.1111,8,690,429,0.6217,0
2025-W21,50044,Premier League,unknown,9,1,0.1111,8,311,230,0.7395,0
2025-W21,56312,Pro League,unknown,9,1,0.1111,8,759,531,0.6996,0
2025-W02,58325,CAF Champions League,unknown,8,1,0.125,7,702,503,0.7165,0
2025-W16,48655,Challenger Pro League,unknown,8,1,0.125,7,558,382,0.6846,1
2025-W16,50044,Premier League,unknown,8,1,0.125,7,270,198,0.7333,0
2025-W18,48423,Pro League,A,8,1,0.125,7,661,465,0.7035,0
2025-W18,61244,Allsvenskan,A,8,1,0.125,7,660,465,0.7045,0
2025-W18,64731,Super League,unknown,8,1,0.125,7,644,454,0.705,0
2025-W20,62246,Eliteserien,unknown,8,1,0.125,7,630,398,0.6317,0
2025-W21,56800,Super Lig,A,8,1,0.125,7,680,475,0.6985,0
2025-W21,57502,Premier League,unknown,8,1,0.125,7,584,399,0.6832,0
2025-W21,58093,Super Liga,unknown,8,1,0.125,7,642,434,0.676,0
2025-W16,57502,Premier League,unknown,7,1,0.1429,6,468,336,0.7179,1
2025-W18,50044,Premier League,unknown,7,1,0.1429,6,248,185,0.746,0
2025-W18,50424,Eredivisie,A,7,1,0.1429,6,588,409,0.6956,0
2025-W20,46901,Chance Liga,unknown,7,1,0.1429,6,527,306,0.5806,0
2025-W20,48847,UAE Pro League,unknown,7,1,0.1429,6,527,330,0.6262,0
2025-W20,63710,Veikkausliiga,unknown,7,1,0.1429,6,563,363,0.6448,0
2025-W20,64731,Super League,unknown,7,1,0.1429,6,550,347,0.6309,0
2025-W20,49851,NB I,unknown,6,1,0.1667,5,460,286,0.6217,0
2025-W20,56618,Super League,unknown,6,1,0.1667,5,470,296,0.6298,0
2025-W21,49851,NB I,unknown,6,1,0.1667,5,504,348,0.6905,0
2025-W02,58840,Botola Pro,unknown,5,1,0.2,4,433,324,0.7483,0
2025-W16,49851,NB I,unknown,5,1,0.2,4,399,284,0.7118,0
2025-W20,45314,1. HNL,unknown,5,1,0.2,4,359,235,0.6546,0
2025-W21,45314,1. HNL,unknown,5,1,0.2,4,426,293,0.6878,0
2025-W02,48655,Challenger Pro League,unknown,4,1,0.25,3,276,213,0.7717,1
2025-W16,55548,Russian Cup,unknown,4,1,0.25,3,136,100,0.7353,0
2025-W02,58737,Taça De Portugal,unknown,3,1,0.3333,2,272,200,0.7353,0
2025-W02,59953,Copa Del Rey,unknown,2,1,0.5,1,177,128,0.7232,0
2025-W16,46755,AFC Champions League Two,unknown,2,1,0.5,1,150,107,0.7133,0
2025-W18,48655,Challenger Pro League,unknown,1,1,1.0,0,44,0,0.0,0
2025-W20,58840,Botola Pro,unknown,1,1,1.0,0,72,46,0.6389,0
2025-W21,60437,Coupe de France,unknown,1,1,1.0,0,81,52,0.642,0
2025-W20,61753,Major League Soccer,A,27,0,0.0,27,2181,1353,0.6204,0
2025-W18,62758,Liga Profesional de Fútbol,A,25,0,0.0,25,1989,1383,0.6953,0
2025-W18,55932,Serie B,B,20,0,0.0,20,1670,1180,0.7066,0
2025-W20,48313,La Liga,S,20,0,0.0,20,1634,1054,0.645,0
2025-W16,62758,Liga Profesional de Fútbol,A,17,0,0.0,17,1362,935,0.6865,0
2025-W18,61753,Major League Soccer,A,16,0,0.0,16,1308,859,0.6567,0
2025-W18,62684,J1 League,A,16,0,0.0,16,1281,931,0.7268,0
2025-W21,61753,Major League Soccer,A,16,0,0.0,16,1345,878,0.6528,0
2025-W16,61753,Major League Soccer,A,15,0,0.0,15,1228,808,0.658,0
2025-W16,65838,Serie B,unknown,15,0,0.0,15,1194,843,0.706,0
2025-W18,47629,League One,unknown,15,0,0.0,15,1209,828,0.6849,0
2025-W16,47125,Championship,B,13,0,0.0,13,1085,750,0.6912,0
2025-W16,47905,League Two,unknown,13,0,0.0,13,1086,778,0.7164,0
2025-W16,50730,Eerste Divisie,unknown,13,0,0.0,13,1048,722,0.6889,0
2025-W16,62684,J1 League,A,13,0,0.0,13,1080,751,0.6954,0
2025-W16,47629,League One,unknown,12,0,0.0,12,980,698,0.7122,0
2025-W18,47905,League Two,unknown,12,0,0.0,12,980,671,0.6847,0
2025-W18,58093,Super Liga,unknown,12,0,0.0,12,940,651,0.6926,0
2025-W20,46768,Super League,unknown,12,0,0.0,12,926,572,0.6177,0
2025-W20,53391,Serie A,S,12,0,0.0,12,974,635,0.652,0
2025-W20,55932,Serie B,B,12,0,0.0,12,1017,707,0.6952,0
2025-W20,59634,Premier League,unknown,12,0,0.0,12,877,523,0.5964,0
2025-W20,62684,J1 League,A,12,0,0.0,12,946,586,0.6195,0
2025-W20,65838,Serie B,unknown,12,0,0.0,12,952,619,0.6502,0
2025-W21,51110,La Liga 2,B,12,0,0.0,12,1030,718,0.6971,0
2025-W21,61244,Allsvenskan,A,12,0,0.0,12,1041,732,0.7032,0
2025-W21,62684,J1 League,A,12,0,0.0,12,1036,727,0.7017,0
2025-W02,51110,La Liga 2,B,11,0,0.0,11,1030,789,0.766,0
2025-W16,51110,La Liga 2,B,11,0,0.0,11,893,640,0.7167,0
2025-W16,63220,Primera Division,unknown,11,0,0.0,11,903,637,0.7054,0
2025-W18,51110,La Liga 2,B,11,0,0.0,11,914,646,0.7068,0
2025-W20,45841,Ekstraklasa,A,11,0,0.0,11,871,558,0.6406,0
2025-W20,51110,La Liga 2,B,11,0,0.0,11,863,556,0.6443,0
2025-W20,65348,Serie A,A,11,0,0.0,11,881,568,0.6447,0
2025-W21,57742,FNL,unknown,11,0,0.0,11,363,264,0.7273,0
2025-W16,54223,Liga Portugal 2,unknown,10,0,0.0,10,824,585,0.71,0
2025-W16,55168,3. Liga,unknown,10,0,0.0,10,803,585,0.7285,0
2025-W18,45514,First League,unknown,10,0,0.0,10,805,566,0.7031,0
2025-W18,45751,Premier League,S,10,0,0.0,10,838,588,0.7017,0
2025-W18,54223,Liga Portugal 2,unknown,10,0,0.0,10,838,605,0.722,0
2025-W18,55168,3. Liga,unknown,10,0,0.0,10,824,588,0.7136,0
2025-W20,58093,Super Liga,unknown,10,0,0.0,10,749,473,0.6315,0
2025-W20,59387,Ligue 1,unknown,10,0,0.0,10,729,466,0.6392,0
2025-W20,62494,Liga BetPlay,A,10,0,0.0,10,718,490,0.6825,0
2025-W21,45841,Ekstraklasa,A,10,0,0.0,10,842,588,0.6983,0
2025-W21,48313,La Liga,S,10,0,0.0,10,855,598,0.6994,0
2025-W21,63220,Primera Division,unknown,10,0,0.0,10,836,576,0.689,0
2025-W02,52190,Ligue 2,B,9,0,0.0,9,844,646,0.7654,0
2025-W02,53065,Bundesliga,S,9,0,0.0,9,840,648,0.7714,0
2025-W02,53391,Serie A,S,9,0,0.0,9,844,643,0.7618,0
2025-W02,55932,Serie B,B,9,0,0.0,9,836,629,0.7524,0
2025-W16,46453,Ligat ha'Al,unknown,9,0,0.0,9,654,438,0.6697,0
2025-W16,52190,Ligue 2,B,9,0,0.0,9,747,528,0.7068,0
2025-W16,52768,2. Bundesliga,B,9,0,0.0,9,749,527,0.7036,0
2025-W16,53065,Bundesliga,S,9,0,0.0,9,736,535,0.7269,0
2025-W16,61244,Allsvenskan,A,9,0,0.0,9,748,532,0.7112,0
2025-W16,63436,Primera Division,A,9,0,0.0,9,743,526,0.7079,0
2025-W18,48313,La Liga,S,9,0,0.0,9,756,530,0.7011,0
2025-W18,51884,Ligue 1,S,9,0,0.0,9,746,520,0.6971,0
2025-W18,52190,Ligue 2,B,9,0,0.0,9,725,527,0.7269,0
2025-W18,52768,2. Bundesliga,B,9,0,0.0,9,733,514,0.7012,0
2025-W18,53065,Bundesliga,S,9,0,0.0,9,751,519,0.6911,0
2025-W18,57742,FNL,unknown,9,0,0.0,9,286,205,0.7168,0
2025-W18,64587,Primera Division,unknown,9,0,0.0,9,724,499,0.6892,0
2025-W20,52768,2. Bundesliga,B,9,0,0.0,9,688,427,0.6206,0
2025-W20,54223,Liga Portugal 2,unknown,9,0,0.0,9,710,449,0.6324,0
2025-W20,54529,Liga Portugal,A,9,0,0.0,9,706,445,0.6303,0
2025-W21,63436,Primera Division,A,9,0,0.0,9,783,549,0.7011,0
2025-W02,48423,Pro League,A,8,0,0.0,8,750,572,0.7627,0
2025-W02,57502,Premier League,unknown,8,0,0.0,8,684,527,0.7705,0
2025-W16,45484,Superliga,unknown,8,0,0.0,8,666,464,0.6967,0
2025-W16,46635,First Division,unknown,8,0,0.0,8,667,471,0.7061,0
2025-W16,51572,Superliga,unknown,8,0,0.0,8,657,462,0.7032,0
2025-W16,58625,Persian Gulf Pro League,unknown,8,0,0.0,8,568,456,0.8028,0
2025-W16,59387,Ligue 1,unknown,8,0,0.0,8,591,430,0.7276,0
2025-W18,46901,Chance Liga,unknown,8,0,0.0,8,648,419,0.6466,0
2025-W18,51572,Superliga,unknown,8,0,0.0,8,655,458,0.6992,0
2025-W18,58625,Persian Gulf Pro League,unknown,8,0,0.0,8,485,304,0.6268,0
2025-W18,65348,Serie A,A,8,0,0.0,8,673,470,0.6984,0
2025-W18,65838,Serie B,unknown,8,0,0.0,8,654,458,0.7003,0
2025-W20,50044,Premier League,unknown,8,0,0.0,8,284,212,0.7465,0
2025-W20,63220,Primera Division,unknown,8,0,0.0,8,619,399,0.6446,0
2025-W21,45514,First League,unknown,8,0,0.0,8,675,491,0.7274,0
2025-W21,54935,Premier League,unknown,8,0,0.0,8,659,451,0.6844,0
2025-W21,63710,Veikkausliiga,unknown,8,0,0.0,8,690,485,0.7029,0
2025-W21,65348,Serie A,A,8,0,0.0,8,690,482,0.6986,0
2025-W21,65838,Serie B,unknown,8,0,0.0,8,682,474,0.695,0
2025-W02,45187,Liga MX,A,7,0,0.0,7,609,427,0.7011,0
2025-W02,48313,La Liga,S,7,0,0.0,7,654,502,0.7676,0
2025-W02,54223,Liga Portugal 2,unknown,7,0,0.0,7,644,480,0.7453,0
2025-W02,56800,Super Lig,A,7,0,0.0,7,652,497,0.7623,0
2025-W02,59564,Indian Super League,unknown,7,0,0.0,7,636,466,0.7327,0
2025-W16,53391,Serie A,S,7,0,0.0,7,579,418,0.7219,0
2025-W16,59906,V-League,unknown,7,0,0.0,7,510,331,0.649,0
2025-W18,45314,1. HNL,unknown,7,0,0.0,7,572,399,0.6976,0
2025-W18,45841,Ekstraklasa,A,7,0,0.0,7,578,410,0.7093,0
2025-W18,46453,Ligat ha'Al,unknown,7,0,0.0,7,508,326,0.6417,0
2025-W18,56618,Super League,unknown,7,0,0.0,7,570,394,0.6912,0
2025-W18,63436,Primera Division,A,7,0,0.0,7,588,415,0.7058,0
2025-W18,63710,Veikkausliiga,unknown,7,0,0.0,7,568,400,0.7042,0
2025-W20,45751,Premier League,S,7,0,0.0,7,556,353,0.6349,0
2025-W20,57742,FNL,unknown,7,0,0.0,7,233,167,0.7167,0
2025-W21,45484,Superliga,unknown,7,0,0.0,7,589,407,0.691,0
2025-W21,46901,Chance Liga,unknown,7,0,0.0,7,576,373,0.6476,0
2025-W21,59387,Ligue 1,unknown,7,0,0.0,7,574,392,0.6829,0
2025-W21,59634,Premier League,unknown,7,0,0.0,7,563,363,0.6448,0
2025-W21,61043,Premier Division,unknown,7,0,0.0,7,607,425,0.7002,0
2025-W21,62246,Eliteserien,unknown,7,0,0.0,7,605,423,0.6992,0
2025-W02,58483,Stars League,unknown,6,0,0.0,6,540,408,0.7556,0
2025-W02,59634,Premier League,unknown,6,0,0.0,6,535,388,0.7252,0
2025-W16,48423,Pro League,A,6,0,0.0,6,493,358,0.7262,0
2025-W16,50268,Niké Liga,unknown,6,0,0.0,6,478,349,0.7301,0
2025-W16,50298,Admiral Bundesliga,unknown,6,0,0.0,6,501,354,0.7066,0
2025-W16,59003,A-League Men,unknown,6,0,0.0,6,488,335,0.6865,0
2025-W16,61043,Premier Division,unknown,6,0,0.0,6,484,346,0.7149,0
2025-W16,63238,K League 1,A,6,0,0.0,6,502,346,0.6892,0
2025-W18,45484,Superliga,unknown,6,0,0.0,6,511,360,0.7045,0
2025-W18,46635,First Division,unknown,6,0,0.0,6,493,340,0.6897,0
2025-W18,48847,UAE Pro League,unknown,6,0,0.0,6,448,289,0.6451,0
2025-W18,49851,NB I,unknown,6,0,0.0,6,503,350,0.6958,0
2025-W18,50268,Niké Liga,unknown,6,0,0.0,6,502,346,0.6892,0
2025-W18,50298,Admiral Bundesliga,unknown,6,0,0.0,6,513,360,0.7018,0
2025-W18,52570,Premiership,A,6,0,0.0,6,503,347,0.6899,0
2025-W18,56312,Pro League,unknown,6,0,0.0,6,478,343,0.7176,0
2025-W18,59003,A-League Men,unknown,6,0,0.0,6,483,339,0.7019,0
2025-W18,59906,V-League,unknown,6,0,0.0,6,430,274,0.6372,0
2025-W18,63238,K League 1,A,6,0,0.0,6,492,354,0.7195,0
2025-W20,45484,Superliga,unknown,6,0,0.0,6,481,310,0.6445,0
2025-W20,46635,First Division,unknown,6,0,0.0,6,464,290,0.625,0
2025-W20,48423,Pro League,A,6,0,0.0,6,468,294,0.6282,0
2025-W20,50298,Admiral Bundesliga,unknown,6,0,0.0,6,472,298,0.6314,0
2025-W20,63238,K League 1,A,6,0,0.0,6,478,304,0.636,0
2025-W21,46635,First Division,unknown,6,0,0.0,6,510,354,0.6941,0
2025-W21,46768,Super League,unknown,6,0,0.0,6,500,341,0.682,0
2025-W21,50298,Admiral Bundesliga,unknown,6,0,0.0,6,514,358,0.6965,0
2025-W21,63238,K League 1,A,6,0,0.0,6,520,364,0.7,0
2025-W02,50730,Eerste Divisie,unknown,5,0,0.0,5,447,338,0.7562,0
2025-W16,45314,1. HNL,unknown,5,0,0.0,5,401,289,0.7207,0
2025-W16,45841,Ekstraklasa,A,5,0,0.0,5,412,300,0.7282,0
2025-W16,63710,Veikkausliiga,unknown,5,0,0.0,5,404,301,0.745,0
2025-W18,46768,Super League,unknown,5,0,0.0,5,414,287,0.6932,0
2025-W18,61043,Premier Division,unknown,5,0,0.0,5,403,294,0.7295,0
2025-W20,45187,Liga MX,A,5,0,0.0,5,400,255,0.6375,0
2025-W20,61043,Premier Division,unknown,5,0,0.0,5,398,253,0.6357,0
2025-W20,63436,Primera Division,A,5,0,0.0,5,371,250,0.6739,0
2025-W20,64587,Primera Division,unknown,5,0,0.0,5,392,247,0.6301,0
2025-W21,62758,Liga Profesional de Fútbol,A,5,0,0.0,5,422,292,0.6919,0
2025-W02,53671,Enterprise National League,unknown,4,0,0.0,4,364,269,0.739,0
2025-W02,57486,Kings Cup,unknown,4,0,0.0,4,358,260,0.7263,0
2025-W21,51572,Superliga,unknown,4,0,0.0,4,343,239,0.6968,0
2025-W21,55932,Serie B,B,4,0,0.0,4,339,250,0.7375,0
2025-W02,76770,Super Cup,unknown,3,0,0.0,3,266,194,0.7293,0
2025-W18,46888,AFC Champions League Elite,unknown,3,0,0.0,3,227,155,0.6828,0
2025-W18,55548,Russian Cup,unknown,3,0,0.0,3,102,75,0.7353,0
2025-W20,46453,Ligat ha'Al,unknown,3,0,0.0,3,218,143,0.656,0
2025-W21,50424,Eredivisie,A,3,0,0.0,3,261,183,0.7011,0
2025-W21,56618,Super League,unknown,3,0,0.0,3,256,178,0.6953,0
2025-W21,59906,V-League,unknown,3,0,0.0,3,229,151,0.6594,0
2025-W02,47629,League One,unknown,2,0,0.0,2,186,140,0.7527,0
2025-W02,47905,League Two,unknown,2,0,0.0,2,186,146,0.7849,0
2025-W02,49065,Carabao Cup,unknown,2,0,0.0,2,180,128,0.7111,0
2025-W02,54529,Liga Portugal,A,2,0,0.0,2,184,153,0.8315,0
2025-W16,50424,Eredivisie,A,2,0,0.0,2,162,119,0.7346,0
2025-W16,58093,Super Liga,unknown,2,0,0.0,2,157,111,0.707,0
2025-W16,58325,CAF Champions League,unknown,2,0,0.0,2,140,94,0.6714,0
2025-W18,45187,Liga MX,A,2,0,0.0,2,165,139,0.8424,0
2025-W20,47125,Championship,B,2,0,0.0,2,162,110,0.679,0
2025-W20,47629,League One,unknown,2,0,0.0,2,158,100,0.6329,0
2025-W20,47905,League Two,unknown,2,0,0.0,2,158,100,0.6329,0
2025-W20,52190,Ligue 2,B,2,0,0.0,2,148,99,0.6689,0
2025-W20,53671,Enterprise National League,unknown,2,0,0.0,2,164,100,0.6098,0
2025-W20,55548,Russian Cup,unknown,2,0,0.0,2,74,56,0.7568,0
2025-W20,57180,1. Lig,unknown,2,0,0.0,2,150,95,0.6333,0
2025-W20,59003,A-League Men,unknown,2,0,0.0,2,157,102,0.6497,0
2025-W20,62758,Liga Profesional de Fútbol,A,2,0,0.0,2,163,111,0.681,0
2025-W20,67402,Premiership Play-Offs,unknown,2,0,0.0,2,160,102,0.6375,0
2025-W21,45187,Liga MX,A,2,0,0.0,2,167,112,0.6707,0
2025-W21,50268,Niké Liga,unknown,2,0,0.0,2,164,118,0.7195,0
2025-W21,53671,Enterprise National League,unknown,2,0,0.0,2,170,115,0.6765,0
2025-W21,57180,1. Lig,unknown,2,0,0.0,2,174,122,0.7011,0
2025-W21,59003,A-League Men,unknown,2,0,0.0,2,171,122,0.7135,0
2025-W02,45751,Premier League,S,1,0,0.0,1,92,66,0.7174,0
2025-W02,47125,Championship,B,1,0,0.0,1,92,66,0.7174,0
2025-W16,46768,Super League,unknown,1,0,0.0,1,81,61,0.7531,0
2025-W16,48847,UAE Pro League,unknown,1,0,0.0,1,74,48,0.6486,0
2025-W16,58840,Botola Pro,unknown,1,0,0.0,1,82,56,0.6829,0
2025-W16,62246,Eliteserien,unknown,1,0,0.0,1,79,53,0.6709,0
2025-W18,53671,Enterprise National League,unknown,1,0,0.0,1,79,53,0.6709,0
2025-W18,59387,Ligue 1,unknown,1,0,0.0,1,79,59,0.7468,0
2025-W20,46755,AFC Champions League Two,unknown,1,0,0.0,1,75,46,0.6133,0
2025-W20,55588,FA Cup,unknown,1,0,0.0,1,77,48,0.6234,0
2025-W20,58401,Coppa Italia,unknown,1,0,0.0,1,87,67,0.7701,0
2025-W21,46421,DFB Pokal,unknown,1,0,0.0,1,82,56,0.6829,0
2025-W21,47125,Championship,B,1,0,0.0,1,85,56,0.6588,0
2025-W21,47629,League One,unknown,1,0,0.0,1,85,56,0.6588,0
2025-W21,58325,CAF Champions League,unknown,1,0,0.0,1,78,52,0.6667,0
2025-W21,58737,Taça De Portugal,unknown,1,0,0.0,1,87,61,0.7011,0
2025-W21,67402,Premiership Play-Offs,unknown,1,0,0.0,1,87,61,0.7011,0
2025-W21,67458,Ligue 1 Play-offs,unknown,1,0,0.0,1,81,64,0.7901,0
