league_id,league_name,league_tier,league_country,n_fixtures,n_value_pool,n_not_usable,not_usable_rate,vp_over_n_fixtures,n_vp_false_dcs0,n_sin_lineas_canonicas_pre_t60,n_lineas_canonicas_filtradas_t60_cero,n_todas_lineas_sin_ts_o_post_t60,n_lineas_filtradas_t60_solo,n_vp_false_sin_ft1x2,n_vp_false_ft1x2_otros,lines_survival_proxy,n_lines_before_sum,n_lines_t60_sum
65348,Serie A,A,,100,99,1,0.01,0.99,1,0,0,0,0,0,0,0.695595,8308,5779
63710,Veikkausliiga,unknown,,56,55,1,0.017857,0.982143,1,0,0,0,0,0,0,0.702732,4649,3267
47905,League Two,unknown,,291,291,0,0.0,1.0,0,0,0,0,0,0,0,0.722193,25129,18148
62758,Liga Profesional de Fútbol,A,,254,254,0,0.0,1.0,0,0,0,0,0,0,0,0.732075,21883,16020
55932,Serie B,B,,187,187,0,0.0,1.0,0,0,0,0,0,0,0,0.728115,16198,11794
62684,J1 League,A,,186,186,0,0.0,1.0,0,0,0,0,0,0,0,0.705864,15758,11123
54223,Liga Portugal 2,unknown,,168,168,0,0.0,1.0,0,0,0,0,0,0,0,0.730613,14533,10618
52768,2. Bundesliga,B,,153,153,0,0.0,1.0,0,0,0,0,0,0,0,0.725286,13181,9560
45841,Ekstraklasa,A,,144,144,0,0.0,1.0,0,0,0,0,0,0,0,0.721753,12320,8892
59387,Ligue 1,unknown,,107,107,0,0.0,1.0,0,0,0,0,0,0,0,0.692426,8424,5833
63238,K League 1,A,,101,101,0,0.0,1.0,0,0,0,0,0,0,0,0.707625,8643,6116
50298,Admiral Bundesliga,unknown,,98,98,0,0.0,1.0,0,0,0,0,0,0,0,0.71601,8370,5993
63436,Primera Division,A,,95,95,0,0.0,1.0,0,0,0,0,0,0,0,0.722545,8095,5849
65838,Serie B,unknown,,95,95,0,0.0,1.0,0,0,0,0,0,0,0,0.70158,7657,5372
61043,Premier Division,unknown,,92,92,0,0.0,1.0,0,0,0,0,0,0,0,0.710162,7725,5486
45484,Superliga,unknown,,90,90,0,0.0,1.0,0,0,0,0,0,0,0,0.714472,7649,5465
46635,First Division,unknown,,84,84,0,0.0,1.0,0,0,0,0,0,0,0,0.710114,7020,4985
59564,Indian Super League,unknown,,79,79,0,0.0,1.0,0,0,0,0,0,0,0,0.74119,7009,5195
